caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-01,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,111,JGRoberts,1,1,1,2,,
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-02,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,106,AMKennedy,2,1,2,1,110,
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-03,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,108,CThomas,1,2,1,2,,
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-04,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,109,RBGinsburg,4,2,1,2,,
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-05,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,110,SGBreyer,2,2,2,1,,
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-06,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,112,SAAlito,1,1,1,2,,
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-07,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,113,SSotomayor,1,1,1,2,,
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01-08,3/22/17,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/16,,184,,184,,1,,,0,118,,26,,1,11,3,1,1,2,0,0,0,0,80190,8,1,0,4,,6,600,Copyright Act,108,111,1,6,2,114,EKagan,1,1,1,2,,
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-01,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,111,JGRoberts,1,1,1,2,0,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-02,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,106,AMKennedy,1,1,1,2,0,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-03,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,108,CThomas,2,2,2,1,0,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-04,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,109,RBGinsburg,1,1,1,2,0,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-05,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,110,SGBreyer,1,2,1,2,0,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-06,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,112,SAAlito,2,1,2,1,108,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-07,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,113,SSotomayor,1,1,1,2,0,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01-08,3/22/17,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/16,,135,,114,,1,,,0,54,,23,,1,12,2,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,NA,110,111,1,6,2,114,EKagan,1,1,1,2,0,0
2016-009,2016-009-01,2016-009-01-01,2016-009-01-01-01-01,3/21/17,1,,137 S. Ct. 954,197 L. Ed. 2d 292,2017 U.S. LEXIS 2023,2016,1705,Roberts,15-927,"SCA HYGIENE PRODS. AKTIEBOLAG v. FIRST QUALITY BABY PRODS., LLC",11/1/16,,172,,172,,1,,,0,74,,8,,1,12,2,1,1,5,0,1,0,0,80180,8,2,0,4,,6,600,35 USC 286,112,111,1,7,1,111,JGRoberts,1,1,2,2,0,0
