caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2015-005,2015-005-01,2015-005-01-01,2015-005-01-01-01-03,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-452,KANSAS v. GLEASON,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,1,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,106,AMKennedy,1,1,1,2,0,0
2015-005,2015-005-01,2015-005-01-01,2015-005-01-01-01-04,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-452,KANSAS v. GLEASON,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,1,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,108,CThomas,1,1,1,2,0,0
2015-005,2015-005-01,2015-005-01-01,2015-005-01-01-01-05,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-452,KANSAS v. GLEASON,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,1,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,109,RBGinsburg,1,1,1,2,0,0
2015-005,2015-005-01,2015-005-01-01,2015-005-01-01-01-06,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-452,KANSAS v. GLEASON,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,1,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,110,SGBreyer,1,1,1,2,0,0
2015-005,2015-005-01,2015-005-01-01,2015-005-01-01-01-07,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-452,KANSAS v. GLEASON,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,1,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,112,SAAlito,1,1,1,2,0,0
2015-005,2015-005-01,2015-005-01-01,2015-005-01-01-01-08,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-452,KANSAS v. GLEASON,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,1,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,113,SSotomayor,2,2,2,1,0,0
2015-005,2015-005-01,2015-005-01-01,2015-005-01-01-01-09,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-452,KANSAS v. GLEASON,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,1,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,114,EKagan,1,1,1,2,0,0
2015-005,2015-005-02,2015-005-02-01,2015-005-02-01-01-01,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-450,KANSAS v. CARR,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,111,JGRoberts,1,1,1,2,0,0
2015-005,2015-005-02,2015-005-02-01,2015-005-02-01-01-02,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-450,KANSAS v. CARR,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,105,AScalia,1,2,1,2,0,0
2015-005,2015-005-02,2015-005-02-01,2015-005-02-01-01-03,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-450,KANSAS v. CARR,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,106,AMKennedy,1,1,1,2,0,0
2015-005,2015-005-02,2015-005-02-01,2015-005-02-01-01-04,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-450,KANSAS v. CARR,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,108,CThomas,1,1,1,2,0,0
2015-005,2015-005-02,2015-005-02-01,2015-005-02-01-01-05,1/20/16,1,,136 S. Ct. 633,193 L. Ed. 2d 535,2016 U.S. LEXIS 845,2015,1704,Roberts,14-450,KANSAS v. CARR,10/7/15,,28,20,215,,1,,,0,302,20,300,20,0,12,8,2,1,4,0,,0,0,10130,1,1,0,2,,2,221,NA,105,111,1,8,1,109,RBGinsburg,1,1,1,2,0,0
